-ί|iota demonstrativum
δωριάζω|= Δωρίζω, Anacreont.
δωριεύς|a Dorian, descendant of Dorus
δωρικός|Doric
δωριστί|in Dorian fashion
δωροδοκέω|to accept as a present
δωροδοκία|a taking of bribes, openness to bribery
δωροδοκιστί|in bribe-fashion
δωροδόκημα|acceptance of a bribe, corruption
δωροδόκος|taking presents or bribes
δωροδότης|a giver of presents, a giver
δωροφάγος|greedy of presents
δωροφορέω|to bring presents
δωροφόρος|bringing presents
δωρύττομαι|doric for δωρέομαι, Theocr.
δωσίδικος|giving oneself up to justice, abiding by the law
δωτήρ|a giver
δωτίνη|a gift, present
δωτινάζω|to receive or collect presents
δωτώ|giver
δόγμα|that which seems to one, an opinion, dogma
δόκημα|a vision, fancy
δόκησις|an opinion, belief, conceit, fancy
δόκιμος|assayed, examined, tested
δόλιος|crafty, deceitful, treacherous
δόλιχος|the long course
δόλος1|a bait
δόλος|a bait
δόλωμα|a trick, deceit
δόλων|a secret weapon, poniard, stiletto
δόλωσις|a tricking
δόμονδε|home, homeward
δόμος|a house
δόναξ|a reed
δόνημα|an agitation, waving
δόξα|a notion
δόξασμα|an opinion, notion, conjecture
δόρπον|the evening meal
δόρυ|a stem, tree
δόσις|a giving
δόχμιος|across, athwart, aslant
δύη|woe, misery, anguish, pain
δύναμαι|to be able, capable, strong enough
δύναμις|power, might, strength
δύνασις|poet. for δύναμις, Soph., Eur.
δύο|two
δύσαγνος|unchaste
δύσαρκτος|hard to govern
δύσαυλος1|@
δύσαυλος2|@
δύσαυλος|@
δύσβατος|inaccessible, impassable
δύσβουλος|ill-advised.
δύσβωλος|of ill soil, unfruitful
δύσγαμος|ill-wedded
δύσγνοια|ignorance, doubt
δύσδαμαρ|ill-wived, ill-wedded
δύσεδρος|bringing evil by one's abode
δύσελπις|hardly hoping, desponding
δύσεργος|unfit for work
δύσερις|very quarrelsome, contentious
δύσερως|sick in love with
δύσζηλος|exceeding jealous
δύσζωος|wretched
δύσηρις|poet. for δύσερις 1, Pind.
δύσθεος|godless, ungodly
δύσθετος|in bad case.
δύσθρους|ill-sounding
δύσθυμος|desponding, melancholy, repentant
δύσιππος|hard to ride in
δύσις|a setting of the sun or stars
δύσκαπνος|noisome from smoke, smoky
δύσκηλος|past remedy
δύσκλεια|ill-fame, an ill name, infamy
δύσκολος|hard to satisfy with food
δύσκολπος|with ill-formed womb
δύσκρατος|of bad temperament
δύσκριτος|hard to discern or interpret
δύσκωφος|stone-deaf.
δύσλεκτος|hard to tell
δύσληπτος|hard to catch
δύσλοφος|hard for the neck, hard to bear
δύσλυτος|indissoluble
δύσμαχος|hard to fight with, unconquerable
δύσμηνις|wrathful
δύσμοιρος|μοῖρα
δύσμορος|ill-fated, ill-starred
δύσμορφος|misshapen, ill-favoured
δύσμουσος|unmusical
δύσνιπτος|hard to wash out
δύσνοια|disaffection, ill-will, malevolence
δύσνομος|lawless, unrighteous
δύσνοστος|that is no return
δύσνους|ill-affected, disaffected
δύσνυμφος|ill-wedded or ill-betrothed
δύσογκος|over heavy, burdensome
δύσοδος|hard to pass, scarce passable
δύσοιμος|= δύσοδος, Aesch.
δύσοιστος|hard to bear, insufferable
δύσομβρος|stormy, wintry
δύσοργος|quick to anger
δύσορμος|with bad anchorage
δύσορνις|ill-omened, boding ill
δύσοσμος|ill-smelling, stinking
δύσπαρις|unhappy Paris, ill-starred Paris
δύσπειστος|= δυσπειθής, Xen.
δύσπεμπτος|hard to send away
δύσπλανος|wandering in misery
δύσπλους|bad for sailing
δύσπλωτος|= δύσπλοος, Anth.
δύσπνοια|difficulty of breathing
δύσπνους|scant of breath
δύσπονος|toilsome
δύσπορος|hard to pass, scarce passable
δύσποτμος|unlucky, ill-starred, unhappy, wretched
δύσποτος|unpalatable
δύσριγος|impatient of cold
δύσσους|hard to save, ruined
δύστεκνος|unfortunate in children
δύστηνος|wretched, unhappy, unfortunate, disastrous
δύστλητος|hard to bear
δύστοκος|bringing forth with pain.
δύστομος1|bad of mouth: hardmouthed
δύστομος|bad of mouth: hardmouthed
δύστονος|lamentable
δύστροπος|hard to turn, intractable
δύσφατος|hard to speak, unutterable
δύσφημος|of ill omen, boding
δύσφορος|hard to bear, heavy
δύσφρων|sad at heart, sorrowful, melancholy
δύσχιμος|wintry, troublesome, dangerous, fearful
δύσχορτος|with little grass, ill off for food
δύσχρηστος|hard to use, nearly useless
δύτης|a diver
δύω2|to strip off
δύω|to strip off
δώδεκα|twelve
δώρημα|that which is given, a gift, present
δώριος|Dorian
δώς|Lat. dos, = δόσις, Hes.
δώσων|always going to give
δώτωρ|= δωτήρ, Od., Hhymn.
δᾳδίον|firewood
δᾳδίς|a torch-feast
δᾳδουχέω|to hold the office of
δᾳδοφορέω|to carry torches
δᾳδοῦχος|a torch-bearer
δᾶ|by earth
δῆγμα|a bite, sting
δῆθεν|really, in very truth
δῆλος|@
δῆμος|a country-district, country, land
δῆξις|a bite, biting
δῆρις|a fight, battle, contest
δῆτα|certainly, to be sure, of course
δῖα|fem. of δῖος.
δῖνος|a whirling, rotation
δῖος|god-like, divine
δῶμα|a house
δῶρον|a gift, present
εἰ1|whether.
εἰ|whether.
εἰαρόμασθος|with youthful breasts
εἰδάλιμος|shapely, comely
εἰδήμων|knowing or expert in
εἰδοί|Idus
εἰδοποιέω|to make an image of
εἰδοποιία|the specific nature of
εἰδοποιός|forming a species, specific
εἰδωλεῖον|an idol's temple
εἰδωλολάτρης|an idol-worshipper, idolater
εἰδωλολατρεία|idolatry
εἰδωλοποιέω|to form an image
εἰδωλοποιία|formation of images
εἰδωλοποιός|an image-maker
εἰδωλόθυτος|sacrificed to idols
εἰδότως|knowingly
εἰδύλλιον|a short descriptive poem
εἰκάζω|to make like to, represent by a likeness, portray
εἰκάς|the twentieth day of the month
εἰκασία|a likeness, image
εἰκασμός|a conjecturing
εἰκαστής|one who conjectures, a diviner
εἰκαστικός|able to represent or conjecture
εἰκαστός|comparable, similar
εἰκαῖος|random, purposeless
εἰκελόνειρος|dream-like
εἰκελόφωνος|of like voice
εἰκονικός|counterfeited, pretended
εἰκοσάβοιος|worth twenty oxen
εἰκοσάκις|twenty times
εἰκοσάμηνος|twenty months old
εἰκοσάπηχυς|= εἰκοσίπηχυς, Luc.
εἰκοσάς|= εἰκάς, Luc.
εἰκοσέτης|= εἰκοσαετής, Anth.
εἰκοσίπηχυς|of twenty cubits
εἰκοσαετής|of twenty years
εἰκοσιετής|= εἰκοσαετής, Plat.
εἰκοσινήριτος|twenty-fold without dispute
εἰκοστή|v. εἰκοστός II.
εἰκοστολόγος|one who collects the twentieth, a tax or toll collector
εἰκοστός|the twentieth
εἰκοσώρυγος|of
εἰκός|like truth
εἰκόσορος|with twenty oars
εἰκότως|in all likelihood, suitably, fairly, reasonably, naturally
εἰκών|a likeness, image, portrait
εἰκῇ|without plan or purpose, heedlessly, rashly, at random, at a venture
εἰλάρχης|a commander of a troop of horse
εἰλήθυια|= Εἰλείθυια, Theocr.
εἰλίπους|rolling in their gait, with rolling walk
εἰλαδόν|εἴλη
εἰλαπίνη|a feast or banquet
εἰλαπινάζω|to revel in a large company
εἰλαπιναστής|a feaster, quest, boon-companion
εἰλείθυια|Ilithyia
εἰλεός|a lurking-place, den, hole
εἰληδόν|by twisting round
εἰλικρινής|unmixed, without alloy, pure
εἰλυσπάομαι|= ἰλυσπάομαι.
εἰλυφάζω|to roll along
εἰλυός|a lurking place, den
εἰλύω|to enfold, enwrap
εἰμί|to be, to exist
εἰνάλιος|poet. for ἐνάλιος.
εἰνάνυχες|nine nights long
εἰνάς|the ninth day of the month
εἰνάτερες|sisters-in-law
εἰναετής|of nine years
εἰναλίφοιτος|roaming the sea
εἰνοσίφυλλος|with quivering foliage
εἰρήνη|peace, time of peace
εἰργμοφύλαξ|a gaoler
εἰργμός|a cage, prison
εἰρεσία|rowing
εἰρεσιώνη|a harvest-wreath
εἰρηναῖος|peaceful, peaceable
εἰρηνεύω|to bring to peace, reconcile
εἰρηνικός|of or for peace, peaceful
εἰρηνοποιός|a peace-maker
εἰρηνοφύλαξ|a guardian of peace
εἰροκόμος|dressing wool
εἰροπόκος|wool-fleeced, woolly
εἰροχαρής|delighting in wool
εἰρωνεία|dissimulation
εἰρωνεύομαι|to dissemble
εἰρωνικός|dissembling, putting on a feigned ignorance
εἰς|into, to c. acc.
εἰσάγω|to lead in or into, to introduce
εἰσάλλομαι|to spring or rush into
εἰσάνειμι|to go up into
εἰσάπαξ|at once, once for all
εἰσέλκω|to draw, haul, drag in or into
εἰσέπειτα|for hereafter
εἰσέργνυμι|to shut up in
εἰσέρπω|to go into
εἰσέρρω|to go into, get in
εἰσέρχομαι|to go in or into, enter
εἰσέτι|still yet
εἰσέχω|to stretch into, reach, extend
εἰσήγημα|a proposition, motion
εἰσήγησις|a proposing, moving
εἰσήκω|to have come in
εἰσίζομαι|to sit down in
