Αἰάντειος,of Ajax
κατακρύπτω,hide, conceal
κατακρώζω,croak at, croak down
κατακρᾰτέω,prevail over
κατακρᾱνία,an affection of the head
κατακρᾱτικός,fit for tempering
κατακρῐδεύω,chatter like a swarm of locusts
κατακρῑβόω,careful, precise
κατακρῠφή,means of concealment
κατακτάομαι,get for oneself, win
κατακτείνω,kill, slay
κατακτενίζω,comb, dress carefully
κατακτενισμός,careful combing
κατακτός,capable of being broken
κατακτύ̆πησις,making a noise at
κατακτῠπέω,make a loud noise, roar against
κατακυκλόω,encompass, encircle
κατακωκύω,wail, shriek loudly
κατακωλύω,hinder from doing
κατακωμάζω,burst riotously in upon
κατακωμῳδέω,attack in comedy
κατακόλπισις,putting into a bay
κατακόπτης,cutter up
κατακόπτω,cut down, fell
κατακόπωσις,wearying
κατακόσμησις,arrangement
κατακύλλωμα,a particular case of lameness
κατακύπτω,bend down, stoop
κατακᾰλέω,call down
κατακᾰλύπτω,cover up
κατακᾰμᾰρόω,cover with a vault
κατακῠβεύω,gamble away
κατακῠβιστάω,turn a somersault
κατακῠκάω,beat up
κατακῠλίνδω,roll down
κατακῡμοτᾰκής,melting the waves
κατακῡριεύω,gain or exercise complete dominion
κατακῡρόω,confirm, ratify
καταλάμπω,shine upon or over
καταλέγω,lay down
καταλέγω1,lay down
καταλέγω2,recount, tell at length and in order
καταλέκτρια,Fr.anon.
καταλέχομαι,lie down, go to bed
καταλήγω,leave off, stop
καταλήθομαι,forget utterly
καταλήψιμος,to be seized and condemned
καταλίπᾰρος,very greasy
καταλαγνεύομαι,to be very lewd
καταλαγχάνω,hold possession of
καταλακτίζω,inculco
καταλαμβάνω,seize, lay hold of
καταλαμπρύνω,make splendid
καταλαμπτέος,to be arrested
καταλγέω,feel sore pain
καταλγύνω,grieve very much
καταλείβω,pour down
καταλείπω,leave behind
καταλείψᾰνον,remnant
καταλεαίνω,grind down
καταλειπτέον,one must leave behind
καταλειτουργέω,spend one's substance in bearing the public burdens
καταλεκτέον,one must reckon
καταλεπτολογέω,refine away by talk, 'pulverize
καταλεπτύνω,make very thin
καταλευκόω,whiten
καταλεύσιμος,worthy to be stoned
καταλεύω,stone to death
καταλεύω1,stone to death
καταληΐζομαι,plunder
καταληκτέον,one must end
καταληκτικός,leaving off
καταληπτέος,to be seized or occupied
καταληπτήρ,strap for holding fast
καταληπτικός,able to check
καταληπτός,seized
καταληρέω,lose by idle talking
καταλιχμάζομαι,lick all over
καταλιχμάομαι,lick up, eat
καταλλάγδην,reciprocally
καταλλάκτης,money-changer
καταλλάσσω,change
καταλλακτήριος,reconciliatory
καταλλακτικός,easy to reconcile, placable
καταλληλία,systematic construction
καταλληλότης,correct construction
καταλλᾰγή,exchange
καταλοβεύς,cornice over a door
καταλογάδην,by way of conversation, in prose
καταλογή,enrolment, enlistment
καταλογίζομαι,count up, reckon
καταλογεύς,officer who enrols
καταλογεῖον,record office
καταλοιδορέω,rail violently against
καταλουστικοί,members of a guild which performed ceremonial ablutions
καταλοφάδεια,on the neck
καταλοχίζω,form into
καταλοχισμός,register, enrolment
καταλούομαι,spend in bathing
καταλσής,woody
καταλωβάω,mutilate
καταλωφάω,rest from
καταλύμανσις,ravaging
καταλύσιμος,to be dissolved or done away
καταλύτης,lodger, stranger
καταλύω,put down, destroy
καταλᾰβή,grasping, comprehension
καταλᾰβεύς,holder, nail
καταλᾰλέω,talk, babble loudly
καταλᾰλητέον,one must talk against
καταλᾰλιά,evil report, slander
καταλῐθοβολέω,throw stones at, stone
καταλῐθόω,stone to death
καταλῐπαίνω,make very fat
καταλῑπᾰρέω,entreat earnestly
καταλῠκουργίζω,press the laws of Lycurgus against
καταλῠτέος,to be put down
καταλῠτήρ,arbitrator
καταλῠτικός,able to dissolve or put an end to
καταλῡμαίνομαι,ruin utterly, destroy
καταλῡμᾰκόομαι,to be silted up
καταμάθησις,thorough knowledge
καταμάκτης,one who wipes off
καταμάρπτω,catch
καταμάσσω,wipe off
καταμάχησις,subduing, conquest
καταμάχομαι,subdue by fighting, conquer
καταμέλλω,procrastinate
καταμέμφομαι,find fault with
καταμένω,stay
καταμέστιος,quite full
καταμέτρημα,unit of measurement
καταμέτρησις,measuring out
καταμήνιος,monthly
καταμήνῡσις,information
καταμαίνομαι,do mad acts against
καταμαγγᾰνεύω,subdue by sorceries
καταμαθητέον,one must learn thoroughly, observe closely
καταμαθητικός,apt at learning
καταμαλθᾰκίζομαι,to be enervated
καταμανθάνω,observe well, examine closely
καταμαντεία,divination
καταμαντεύομαι,foretell against or about
καταμαργάω,to be stark mad, rave
καταμαρτύρομαι,bear witness against
καταμαρτῠρέω,bear witness against
καταμαστίζω,reverbero
καταμαστῑγόω,scourge
καταματτεύομαι,to be tickled
καταμβλύνω,blunt, dull
καταμείγνῡμι,mix in, combine
καταμεγᾰλαυχέομαι,exalt oneself against
καταμεθύσκω,make drunk
καταμεθύω,rave in drunken style against
καταμειδιάω,smile at, despise
καταμεικτέον,one must mix
καταμειλίσσομαι,appease
καταμελαίνω,make black, darken
καταμελετάω,train fully, exercise
καταμελεϊστί,limb by limb
καταμελῐτόω,spread with honey
καταμερίζω,cut in pieces
καταμεστόω,fill quite full of
καταμετρέω,measure out
καταμετρητέον,one must measure
καταμετρητικός,of or for measuring
καταμηκύνω,lengthen out
καταμηλόω,put in the probe
καταμηνιώδης,subject to menstruation
καταμηνύω,point out, make known
καταμηνῡτής,informer
καταμηχᾰνάομαι,plan and execute
καταμισθοδοτέω,corruptbyhighpay
καταμισθοφορέω,spend in paying
καταμνημονεύω,call to mind
καταμοιχεύω,seduce
καταμολύνω,defile utterly
καταμονή,a remaining
καταμονομᾰχέω,conquer in single combat
καταμοσχεύω,propagate by suckers
καταμουσίζω,charm with song
καταμουσόω,embellish
καταμπέχω,encompass
καταμπῠκόω,cover with a fillet
καταμυκτηρίζω,mock with upturned nose
καταμυττωτεύω,make mincemeat of
καταμφιέννῡμι,clothe completely, cover all round
καταμφικᾰλύπτω,put all round
καταμωκάομαι,mock at
καταμωλωπίζω,cover with weals or stripes
καταμωραίνω,waste through folly
καταμόνᾱς,alone, apart
καταμόσχευσις,propagation by suckers
καταμύω,close the eyes
καταμώκησις,mockery
καταμᾰγεύω,bewitch
καταμᾰγεῖον,cloth for wiping
καταμᾰθημᾰτικεύω,reduce to mathematical terms
καταμᾰλάσσω,soften
καταμᾰλᾰκίζω,to be or become soft
καταμᾰραίνω,cause to wither
καταμᾰσάομαι,chew, bite
καταμῐαίνω,defile
καταμῐαιφονέομαι,defile oneself with bloodshed
καταμῑμέομαι,burlesque
καταμῡθολογέω,amuse with fables
κατανά̄λωσις,waste, consumption
κατανάθεμα,curse
κατανάσσω,stamp, beat down firmly
κατανέμησις,pasturage
κατανέμω,distribute, allot
κατανέω,heap, pile up
κατανέω1,heap, pile up
κατανέω2,spin out
κατανήχομαι,swim down stream
κατανίζω,wash well
κατανίπτης,washer
κατανίσσομαι,go or come down from
κατανίσταμαι,rise up against
καταναίω,make to dwell, settle
καταναγιγνώσκω,read through
καταναγρᾰφέω,ordain duly
καταναιδεύομαι,behave impudently to
καταναισῐμόω,use quite up
καταναρκάομαι,grow quite numb
καταναυμᾰχέω,conquer in a sea-fight, beat at sea
κατανδρίζομαι,fight manfully against
κατανδρίζω,place on a list
κατανδρᾰποδίζω,enslave
κατανδρᾰφύσσω,slay
κατανείφω,snow all over, cover with snow
κατανεκρόω,kill
κατανεφόω,overcloud
κατανεύω,nod assent
κατανεᾱνιεύομαι,prevail over by youthful vigour
κατανθίζομαι,to be decked with bright colours
κατανθρωπίζω,treat in a friendly manner
κατανθρωπισμός,hospitality, entertainment
κατανθρᾰκόω,burn to cinders
κατανοέω,observe well, understand, apprehend
κατανοητέον,one must observe, learn
κατανοητικός,observant, intelligent
κατανομή,pasture
κατανομίζω,recognize
κατανομιστεύω,melt down into coin
κατανομοθετέω,legislate
κατανοστέω,return from banishment
κατανοσφίζομαι,embezzle
κατανοτίζω,bedew
κατανοτιαῖος,with south aspect
καταντάω,come down to, arrive
καταντία,hanging downwards
καταντίον,over against, right opposite
καταντητέον,one must have recourse
καταντιβολέω,entreat earnestly
καταντικρύ,straight down from
καταντλέω,pour
καταντλητέον,one must douche
καταντλητικός,of or for douching
κατανυκτικός,pricking at heart
κατανυστάζω,doze, fall asleep
κατανωτίδιος,on the back
κατανωτίζομαι,carry on one's back
κατανωτιστής,one who despises
κατανόημα,purpose, contrivance
κατανόησις,observation, consideration
κατανύσσω,stab, gouge
κατανᾱλίσκω,use up, spend, lavish
κατανᾱλωτέον,one must expend
